feature,correlation,p_value,normal_mean,anomaly_mean,difference
dirfd=-100(int),0.27799814083016183,0.0,0.0949019570198629,0.009002176993481202,-0.0858997800263817
flags=O_RDONLY|O_LARGEFILE(int),0.26069425157704484,0.0,0.08228642663599155,0.00725944814570305,-0.0750269784902885
dev=5(dev_t),0.2531668044544241,0.0,0.0625284842666102,0.0026097491087341265,-0.059918735157876074
flags=O_RDONLY(int),0.24290564232706044,0.0,0.057194651075299516,0.0020241983932322706,-0.055170452682067245
fd=9(int),0.23145837397461375,0.0,0.10212474297464016,0.0058439626966213494,-0.09628078027801881
fd=38(int),0.16063836382240848,0.0,0.02850125656842586,1.1664596200841018e-05,-0.02848959197222502
fd=3(int),0.1466052773859171,0.0,0.12023075165638565,0.026764415982829713,-0.09346633567355594
fd=27(int),0.12789668247579467,0.0,0.018791409641306833,6.998757720504611e-05,-0.018721422064101788
flags=O_RDONLY|O_CLOEXEC(int),0.12393339404310937,0.0,0.05342491531494652,0.010383153877448018,-0.0430417614374985
dev=211812353(dev_t),0.11241649320399325,0.0,0.04259438438585709,0.008181671180172195,-0.0344127132056849
fd=17(int),0.09833850482161532,0.0,0.019305460360977838,0.0011839565143853632,-0.018121503846592474
cap=CAP_SYS_ADMIN(int),0.08319825081520582,2.1174520777110316e-287,0.007824994288325338,1.7496894301261527e-05,-0.0078074973940240764
flags=O_RDWR|O_NONBLOCK|O_CLOEXEC(int),0.07518088437221049,6.34923279961248e-235,0.0058775475261124656,0.0,-0.0058775475261124656
option=PR_CAP_AMBIENT(int),0.06515120346385737,8.048033591838995e-177,0.004084474863039958,0.00013902446241201218,-0.003945450400627946
fd=4(int),0.06360502669580165,1.315185877380434e-168,0.021590130226182315,0.004514198729725474,-0.01707593149645684
arg2=1(unsigned long),0.06278367621748705,2.5196056660058363e-164,0.003917666592452552,0.00015941798885811027,-0.0037582486035944414
sig=0(int),0.05893635823605653,5.198904191484021e-145,0.0038268220242175005,0.0,-0.0038268220242175005
dev=28(dev_t),0.05673785691709256,1.594277823578763e-134,0.004278342617605669,0.00013298547661717668,-0.004145357140988492
fd=39(int),0.055617472883800964,2.4709281335356257e-129,0.003541238291066941,1.1664596200841018e-05,-0.0035295736948661
flags=O_RDONLY|O_NONBLOCK|O_LARGEFILE|O_DIRECTORY(int),0.05516735536978756,2.8109018952175434e-127,0.007120773736210661,0.0007508730281877416,-0.006369900708022919
flags=O_WRONLY|O_NOCTTY|O_LARGEFILE(int),0.054559309570734016,1.5834233692430283e-124,0.0035942437146576447,3.9753007028672536e-05,-0.0035544907076289723
flags=O_WRONLY|O_NOCTTY|O_CLOEXEC(int),0.05367295823635484,1.4277085498934541e-120,0.0046859271168623205,0.00020029763916934226,-0.004485629477692979
cap=CAP_SETUID(int),0.04996913650274773,9.539829464376774e-105,0.004055289010737948,0.00015163975061093323,-0.003903649260127015
cap=CAP_SETGID(int),0.04805461950897773,5.195329266365166e-97,0.004569339730408956,0.0002741180107197639,-0.004295221719689192
flags=O_RDONLY|O_NONBLOCK|O_DIRECTORY|O_CLOEXEC(int),0.047410824212488024,1.7746541265374185e-94,0.007663153996955623,0.001138758088539186,-0.006524395908416436
cap=CAP_SYS_PTRACE(int),0.045435299608234114,6.457688385137297e-87,0.0023417866118345897,5.832298100420509e-06,-0.002335954313734169
fd=32(int),0.04233054162482981,1.1052590794178247e-75,0.00262737034498515,6.998757720504611e-05,-0.002557382767780104
addr={'sa_family': 'AF_UNSPEC'}(struct sockaddr*),0.039715255448480195,7.771032383789426e-67,0.001586074977785516,2.7825933562265808e-05,-0.0015582490442232501
dev=25(dev_t),0.03563908854538582,3.620527660948696e-54,0.0030158267497347006,0.0003048714917574113,-0.0027109552579772894
stack=0x0(void*),0.03539742400944071,1.849311085389077e-53,0.0020424493900906603,0.00026988130937622654,-0.0017725680807144338
parent_tid=0x0(int*),0.03539742400944071,1.849311085389077e-53,0.0020424493900906603,0.00026988130937622654,-0.0017725680807144338
flags=O_RDONLY|O_NOFOLLOW|O_CLOEXEC|O_PATH(int),0.035195775059033985,7.150047253850671e-53,0.0074459067057503475,0.001882495340093885,-0.0055634113656564625
tls=0(unsigned long),0.03484666492982136,7.29793272888595e-52,0.0020424493900906603,0.000275713607476647,-0.0017667357826140133
pathname=/dev/null(const char*),0.03453326510676609,5.759398547166721e-51,0.002076973176910744,0.00015592157223546116,-0.001921051604675283
arg5=0(unsigned long),0.03421207737694844,4.693445345124762e-50,0.005335310928670726,0.001108138846308553,-0.004227172082362172
cap=CAP_KILL(int),0.03363871305362392,1.892039321248845e-48,0.0014850354123829106,2.3329192401682036e-05,-0.0014617062199812287
flags=CLONE_CHILD_CLEARTID|CLONE_CHILD_SETTID(unsigned int),0.03226544811420625,1.0293525149425477e-44,0.002106422794003915,0.00030818977624539554,-0.0017982330177585193
protocol=0(int),0.032131955417872685,2.3305498304713656e-44,0.0020061663379373276,0.014659479733238213,0.012653313395300885
newfd=1(int),0.031191191302866156,6.71616846382846e-42,0.0027517520881931356,0.00031589903745261514,-0.0024358530507405203
pathname=/proc/1/status(const char*),0.030423996149107502,6.016437488837297e-40,0.0010075632604664418,1.0137797249403334e-05,-0.0009974254632170384
pathname=/proc/sys/kernel/osrelease(const char*),0.030166451912774755,2.6539352938536748e-39,0.001488783046045143,8.068765792890983e-05,-0.0014080953881162332
pathname=/proc/1/cmdline(const char*),0.02879919321102575,5.686268858510593e-36,0.0010075632604664418,2.052662805823098e-05,-0.0009870366324082108
pathname=/proc/sys/kernel/pid_max(const char*),0.028694640026133006,1.0075086004786662e-35,0.000909119720484566,1.0148203051784781e-05,-0.0008989715174327812
cap=CAP_FOWNER(int),0.026936985736023357,1.1110240765772405e-31,0.0007996344528215673,0.0,-0.0007996344528215673
pathname=/etc/ld.so.cache(const char*),0.026303936916364658,2.75341666061915e-30,0.004800363605324061,0.0014139638339533572,-0.003386399771370704
dev=6(dev_t),0.02618898653426298,4.892314507401146e-30,0.0009827577028960468,8.982133231386575e-05,-0.000892936370582181
inode=6(unsigned long),0.025349564402297547,3.01876669290518e-28,0.0008632570010047376,6.386787614780264e-05,-0.000799389124856935
pathname=/run/systemd/units/log-extra-fields:ssh.service(const char*),0.024938670838586544,2.163830478245494e-27,0.0005953390054194656,0.0,-0.0005953390054194656
oldfd=16(int),0.02493775911253647,2.173231259666311e-27,0.0004804613918355395,0.0,-0.0004804613918355395
fd=15(int),0.024551269165274208,1.3461728989174166e-26,0.002970070824765821,0.0005773975119416304,-0.0023926733128241907
